Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,4.610000,4.630000,4.570000,4.600000,4.600000,529500
2018-05-29,4.560000,4.600000,4.530000,4.560000,4.560000,718700
2018-05-30,4.520000,4.590000,4.500000,4.550000,4.550000,595900
2018-05-31,4.550000,4.610000,4.550000,4.600000,4.600000,1440700
2018-06-01,4.620000,4.620000,4.590000,4.600000,4.600000,373500
2018-06-04,4.640000,4.640000,4.570000,4.610000,4.610000,869300
2018-06-05,4.560000,4.590000,4.530000,4.550000,4.550000,806200
2018-06-06,4.620000,4.680000,4.590000,4.650000,4.650000,537200
2018-06-07,4.610000,4.720000,4.610000,4.700000,4.700000,897300
2018-06-08,4.680000,4.730000,4.640000,4.720000,4.720000,652600
2018-06-11,4.730000,4.850000,4.710000,4.790000,4.790000,1815600
2018-06-12,4.760000,4.920000,4.760000,4.920000,4.920000,1016700
2018-06-13,4.920000,4.920000,4.830000,4.890000,4.890000,1486800
2018-06-14,4.860000,4.860000,4.730000,4.760000,4.760000,1452900
2018-06-15,4.760000,4.860000,4.750000,4.850000,4.850000,4593800
2018-06-18,4.850000,4.880000,4.720000,4.830000,4.830000,1762400
2018-06-19,4.750000,4.840000,4.710000,4.800000,4.800000,1168000
2018-06-20,4.710000,4.760000,4.710000,4.740000,4.740000,602700
2018-06-21,4.710000,4.780000,4.640000,4.750000,4.750000,880400
2018-06-22,4.690000,4.830000,4.690000,4.800000,4.800000,1113700
