State universities of India,,,,,,
Sr.No,University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
1,A.P. University of Law,Andhra Pradesh,Visakhapatnam,No,2008,Legal
2,Acharya N. G. Ranga Agricultural University,,Hyderabad,Yes,1964,Agricultural science
3,Acharya Nagarjuna University,,Guntur,Yes,1976,General
4,Adikavi Nannaya University,,Rajahmundry,No,2006,General
5,Andhra Pradesh Open University,,Hyderabad,Yes,1982,Distance education
6,Andhra University,,Visakhapatnam,Yes,1926,General
7,"Dr. B.R. Ambedkar University, Srikakulam",,Etcherla,No,2008,General
8,"Dr. Nandamuri Taraka Rama Rao University of Health Sciences, Andhra Pradesh",,Vijayawada,No,1986,Healthcare
9,Dravidian University,,Kuppam,Yes,1997,Dravidian languages
10,Jawaharlal Nehru Architecture and Fine Arts University,,Hyderabad,No,2008,"Architecture, fine arts"
11,"Jawaharlal Nehru Technological University, Anantapur",,Anantapur,Yes,2008,Technology
12,"Jawaharlal Nehru Technological University, Hyderabad",,Hyderabad,Yes,1972,Technology
13,"Jawaharlal Nehru Technological University, Kakinada",,Kakinada,Yes,2008,Technology
14,Kakatiya University,,Warangal,Yes,1976,General
15,Krishna University,,Machilipatnam,No,2008,General
16,"Mahatma Gandhi University, Nalgonda",,Nalgonda,No,2007,General
17,National Academy of Legal Studies and Research,,Hyderabad,Yes,1999,Legal
18,Osmania University,,Hyderabad,Yes,1908,General
19,Palamuru University,,Mahabubnagar,No,2008,General
20,Potti Sreeramulu Telugu University,,Hyderabad,Yes,1985,Telugu
21,Rajiv Gandhi University of Knowledge Technologies,,Hyderabad,No,2008,Technology
22,Rayalaseema University,,Kurnool,No,2008,General
23,Satavahana University,,Karimnagar,No,2008,General
24,Sri Krishnadevaraya University,,Anantapur,Yes,1981,General
25,Sri Padmavati Mahila Visvavidyalayam,,Tirupati,Yes,1983,Women's only
26,Sri Venkateswara Institute of Medical Sciences,,Tirupati,Yes,1993,Medical
27,Sri Venkateswara University,,Tirupati,Yes,1954,General
28,Sri Venkateswara Vedic University,,Tirupati,No,2006,Vedic studies
29,Sri Venkateswara Veterinary University,,Tirupati,No,2005,Veterinary school
30,Telangana University,,Nizamabad,Yes,2006,General
31,Vikrama Simhapuri University,,Nellore,No,2008,General
32,Yogi Vemana University,,Kadapa,Yes,2006,General
33,Assam Agricultural University,Assam,Jorhat,Yes,1968,Agriculture
34,Dibrugarh University,,Dibrugarh,Yes,1965,General
35,Gauhati University,,Guwahati,Yes,1948,General
